FID,nom,x_min,y_min,x_max,y_max,url,gid,the_geom
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.11,1835_5150_8cm_CC46_IR,1835000,5150000,1840000,5155000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5150_8cm_CC46_IR.ecw,11,"MULTIPOLYGON (((4.7286260226231285 45.53692902042981, 4.730016433922547 45.581908130993526, 4.794069832493755 45.58091291354612, 4.792627975752509 45.53593460082227, 4.7286260226231285 45.53692902042981)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.12,1835_5155_8cm_CC46_IR,1835000,5155000,1840000,5160000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5155_8cm_CC46_IR.ecw,12,"MULTIPOLYGON (((4.730016433922547 45.581908130993526, 4.7314090834100195 45.62688712567434, 4.795514010153706 45.625891109710075, 4.794069832493755 45.58091291354612, 4.730016433922547 45.581908130993526)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.13,1835_5160_8cm_CC46_IR,1835000,5160000,1840000,5165000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5160_8cm_CC46_IR.ecw,13,"MULTIPOLYGON (((4.7314090834100195 45.62688712567434, 4.732803976493362 45.67186597700954, 4.796960514339805 45.670869161850284, 4.795514010153706 45.625891109710075, 4.7314090834100195 45.62688712567434)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.14,1835_5165_8cm_CC46_IR,1835000,5165000,1840000,5170000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5165_8cm_CC46_IR.ecw,14,"MULTIPOLYGON (((4.732803976493362 45.67186597700954, 4.734201118597831 45.71684465751585, 4.798409350677574 45.715847042482224, 4.796960514339805 45.670869161850284, 4.732803976493362 45.67186597700954)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.15,1835_5170_8cm_CC46_IR,1835000,5170000,1840000,5175000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5170_8cm_CC46_IR.ecw,15,"MULTIPOLYGON (((4.734201118597831 45.71684465751585, 4.7356005151661815 45.76182313968926, 4.799860524810678 45.76082472410072, 4.798409350677574 45.715847042482224, 4.734201118597831 45.71684465751585)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.16,1835_5175_8cm_CC46_IR,1835000,5175000,1840000,5180000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5175_8cm_CC46_IR.ecw,16,"MULTIPOLYGON (((4.7356005151661815 45.76182313968926, 4.7370021716587445 45.80680139600515, 4.801314042401006 45.805802179180006, 4.799860524810678 45.76082472410072, 4.7356005151661815 45.76182313968926)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.17,1835_5180_8cm_CC46_IR,1835000,5180000,1840000,5185000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5180_8cm_CC46_IR.ecw,17,"MULTIPOLYGON (((4.7370021716587445 45.80680139600515, 4.738406093553497 45.85177939891836, 4.8027699091287435 45.85077938017367, 4.801314042401006 45.805802179180006, 4.7370021716587445 45.80680139600515)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.18,1835_5185_8cm_CC46_IR,1835000,5185000,1840000,5190000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5185_8cm_CC46_IR.ecw,18,"MULTIPOLYGON (((4.738406093553497 45.85177939891836, 4.739812286346123 45.89675712086319, 4.804228130692445 45.89575629951482, 4.8027699091287435 45.85077938017367, 4.738406093553497 45.85177939891836)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.19,1835_5190_8cm_CC46_IR,1835000,5190000,1840000,5195000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5190_8cm_CC46_IR.ecw,19,"MULTIPOLYGON (((4.739812286346123 45.89675712086319, 4.741220755550108 45.941734534253364, 4.8056887128091015 45.94073290961597, 4.804228130692445 45.89575629951482, 4.739812286346123 45.89675712086319)))"
ima_gestion_images.imaortho2018ecw5km8cmcc46ir.20,1835_5195_8cm_CC46_IR,1835000,5195000,1840000,5200000,https://download.data.grandlyon.com/files/grandlyon/imagerie/ortho2018/infrarouge/ecw/5km_8cm_IR_CC46/1835_5195_8cm_CC46_IR.ecw,20,"MULTIPOLYGON (((4.741220755550108 45.941734534253364, 4.742631506696788 45.98671161148216, 4.80715166121423 45.9857091828692, 4.8056887128091015 45.94073290961597, 4.741220755550108 45.941734534253364)))"
